Facility,ICE Dedicated /Non-Dedicated,Address,ICE Field Office,State,Contract Type ,Facility Operator,FY20 ALOS,FY20 Male Crim,FY20 Male Non-Crim,FY20 Female Crim,FY20 Female Non-Crim,FY 2020 ADP (Fac List on 09/08/20),FY21 ALOS,FY21 Male Crim,FY21 Male Non-Crim,FY21 Female Crim,FY21 Female Non-Crim,FY 2021 ADP (Fac List on 01/04/21),FY 2021 ADP (Fac List on 02/08/21),FY20 Guaranteed Min,FY21 Guaranteed Min
Dale G. Haile Detention Center,Non-Dedicated,"1115 Albany Street, Caldwell, ID, 83605",Salt Lake City,Idaho,IGSA,GOV,,,,,,1,,,,,,1,1,,
Dallas County Jail  - Lew Sterrett Justice Center,Non-Dedicated,"111 W Commerce St. Dallas, TX 75207",Dallas,Texas,USMS IGA,GOV,1.2,3.8,2.6,0.2,0.3,7,1,3,3,0,0,6,6,,
Davidson County Sheriff,Non-Dedicated,"448 2nd Ave N. Nashville, TN 37201",New Orleans,Tennessee,IGSA,GOV,,,,,,0,,,,,,0,0,,
Dearborn Police Department,Non-Dedicated,"16099 Michigan Ave. Dearborn, MI 48126",Detroit,Michigan,IGSA,GOV,,,,,,0,,,,,,0,0,,
Dekalb County Detention Center,Non-Dedicated,"2801 Jordan Rd SW Fort Payne, AL 35968",New Orleans,Alabama,USMS IGA,GOV,4.7,0,0,3.6,2.6,7,,,,,,1,1,0,
Deleware County Jail (George W. Hil),Non-Dedicated,"500 Cheyney Rd, Thornton, PA 19373",Philadelphia,Pennsylvania,USMS IGA,GOV,,,,,,2,,,,,,0,0,,
Dodge County Jail,Non-Dedicated,"215 W Center St, Juneau, WI 53039",Chicago,Wisconsin,USMS IGA,GOV,29.4,70.5,16.8,4.2,0.7,94,31,57,12,5,0,75,74,,
Douglas County Corrections,Non-Dedicated,"710 South 17th Street Omaha, NE, 68102",St. Paul,Nebraska,IGSA,CORECIVIC,10.4,12.1,1.7,2.3,0.6,16,14,13,1,4,0,18,17,,
East Hidalgo Detention Center,Non-Dedicated,"1300 TX-107, La Villa, TX 78562",San Antonio,Texas,USMS IGA,GOV,2.3,1.8,0,0,0,2,1,2,0,0,0,2,2,,
Eden Detention Center,Non-Dedicated,"704 E Broadway Street Eden, TX, 76837",Dallas,Texas,USMS IGA,CORECIVIC,75.6,80,176.5,0,0.1,271,85,80,37,0,0,117,110,0,
El Paso Service Processing Center,Dedicated,"8915 Montana Ave. El Paso, TX, 79925",El Paso,Texas,SPC,GOV,15,159.3,144.5,72.1,146.4,534,29,91,139,25,79,329,340,600,600
El Valle Detention Facility,Non-Dedicated,"1800 Industrial Drive Raymondville, TX, 78580",San Antonio,Texas,IGSA,GOV,31.9,51.1,323,33,203.2,630,28,39,78,16,145,279,280,750,750
Elizabeth Detention Center,Dedicated,"625 Evans Street Elizabeth, NJ, 07201",Newark,New Jersey,CDF,CORECIVIC,46.1,46.9,94.8,2.6,12.7,160,40,34,86,1,9,131,119,285,285
Elmore County Jail,Non-Dedicated,"2255 E 8th N, Mountain Home, ID 83647",Salt Lake City,Idaho,USMS IGA,GOV,2.4,1.8,0.2,0.2,0,2,2,1,0,0,0,1,1,0,
Eloy Federal Contract Facility,Dedicated,"1705 E Hanna Rd Eloy , AZ, 85131",Phoenix,Arizona,DIGSA,CORECIVIC,83.7,204.6,264.6,93.5,446.9,1036,107,112,131,28,114,399,331,0,
Erie County Jail,Non-Dedicated,"1618 Ash StErie, PA 16503",Philadelphia,Pennsylvania,USMS IGA,GOV,4.8,0,0.2,0,0,0,16,0,0,0,0,1,1,0,
Essex County Jail,Non-Dedicated,"354 Doremus Avenue Newark, NJ, 07105",Newark,New Jersey,IGSA,GOV,123.3,310.4,195.3,0,0.5,520,152,134,82,0,0,215,217,0,
Etowah County Jail,Non-Dedicated,"827 Forrest Avenue Gadsden, AL, 35901",New Orleans,Alabama,USMS IGA,GOV,24,96.4,71.4,0.5,0.3,172,54,57,50,0,0,109,105,0,
Euless City Jail,Non-Dedicated,"1102 W Euless Blvd, Euless, TX 76040",Dallas,Texas,IGSA,GOV,1.2,3.6,3.2,0.2,0.5,7,1,4,4,0,0,8,8,0,
Fayette County Detention Center,Non-Dedicated,"600 Old Frankfort CirLexington, KY 40510",Chicago,Kentucky,USMS IGA,GOV,,,,,,2,2,1,1,0,0,1,1,,
Federal Bureau of Prisons (BoP) Federal Corrections Institute (FCI) Phoenix,,"37900 N 45th Ave, Phoenix, AZ 85086",Phoenix,Arizona,,GOV,,,,,,,,,,,,,,,
"Federal Detention Center ""SEA-TAC""",,"2425 S 200th St Seattle, WA, 98198",Seattle,Washington,,GOV,,,,,,,,,,,,,,,
Federal Satellite Low La Tuna,,"Old Ironsides Drive Building 11636 El Paso, TX, 79906",El Paso,Texas,,GOV,,,,,,,,,,,,,,,
Florence Detention Center,Non-Dedicated,"1100 Bowling Road Florence, AZ, 85132",Phoenix,Arizona,USMS IGA,CORECIVIC,47.5,81.1,29.6,4,11.3,129,25,16,75,5,29,131,109,374,392
Florence Services Processing Center,Dedicated,"3250 N. Pinal Parkway Florence, AZ, 85132",Phoenix,Arizona,SPC,GOV,13.1,93.4,168.7,0,0.1,274,16,40,51,0,0,94,86,374,392
Folkston ICE Processing Center (D. Ray James),Dedicated,"3026 Hwy 252 East PO Box 248 Folkston, GA, 31537",Atlanta,Georgia,DIGSA,GEO,62,187.7,268,0,0.2,,81,179,103,0,0,283,154,544,544
Forsyth County Detention Center,Non-Dedicated,"201 N Church St, Winston-Salem, NC 27101",Atlanta,North Carolina,USMS IGA,GEO,,,,,,0,,,,,,0,0,,
Franklin County House of Corrections,Non-Dedicated,"160 Elm Street Greenfield, MA, 01301",Boston,Massachusetts,USMS IGA,GOV,42.5,16.6,4.7,0,0,21,83,16,5,0,0,22,22,0,
Frederick County Adult Detention,Non-Dedicated,"7300 Marcies Choice Ln, Frederick, MD 21704",Baltimore,Maryland,IGSA,GOV,,,,,,12,,,,,,0,0,,
Freeborn County Adult Detention Center,Non-Dedicated,"411 S. Broadway Ave. Albert Lea, MN, 56007",St. Paul,Minnesota,IGSA,GOV,48.8,46.1,13.7,0,0,59,81,44,15,0,0,60,57,0,
Garvin County Detention Center,Non-Dedicated,"201 W Grant Ave Pauls Valley, OK 73075",Dallas,Oklahoma,IGSA,GOV,1.1,0.4,0.2,0,0,1,1,1,1,0,0,2,2,0,
